Fruit2022,FormF2022,RetailCostPer Pound/PintF2022,Vegetable2022,FormV2022,RetailCostPer Pound/PintV2022,Fruit2020,FormF2020,RetailCostPer Pound/PintF2020,Vegetable2020,FormV2020,RetailCostPer Pound/PintV2020,Fruit2016,FormF2016,RetailCostPer Pound/PintF2016,Vegetable2016,FormV2016,RetailCostPer Pound/PintV2016,Fruit2013,FormF2013,RetailCostPer Pound/PintF2013,Vegetable2013,FormV2013,RetailCostPer Pound/PintV2013
Grapes (raisins),Dried,3.9936,Cauliflower florets,Fresh,3.8022,Grapes (raisins),Dried,3.7801,Cauliflower florets,Fresh,3.5859,Grapes (raisins),Dried,3.58,Cauliflower florets,Fresh,3.13,Grapes (raisins),Dried,3.5,Cauliflower florets,Fresh,3.27
"Grapes, ready-to-drink",Juice,1.0509,Cauliflower heads,Fresh,2.1841,"Grapes, ready-to-drink",Juice,0.9215,Cauliflower heads,Fresh,1.9769,"Grapes, ready-to-drink",Juice,0.85,Cauliflower heads,Fresh,1.42,"Grapes, ready-to-drink",Juice,0.91,Cauliflower heads,Fresh,1.23
"Grapes, frozen concentrate",Juice,0.7524,Cauliflower,Frozen,2.3974,"Grapes, frozen concentrate",Juice,0.7119,Cauliflower,Frozen,1.9946,"Grapes, frozen concentrate",Juice,0.74,Cauliflower,Frozen,1.68,"Grapes, frozen concentrate",Juice,0.72,Cauliflower,Frozen,1.72
Honeydew,Fresh,1.1589,"Celery, trimmed bunches",Fresh,1.1637,Honeydew,Fresh,0.9056,"Celery, trimmed bunches",Fresh,0.9842,Honeydew,Fresh,0.83,"Celery, trimmed bunches",Fresh,1.09,Honeydew,Fresh,0.8,"Celery, trimmed bunches",Fresh,1.11
Kiwi,Fresh,2.6064,Celery sticks,Fresh,2.4941,Kiwi,Fresh,2.1849,Celery sticks,Fresh,2.4041,Kiwi,Fresh,2.18,Celery sticks,Fresh,2.13,Kiwi,Fresh,2.04,Celery sticks,Fresh,2.2
Mangoes,Fresh,1.4698,Collard greens,Fresh,3.0881,Mangoes,Fresh,1.1513,Collard greens,Fresh,2.682,Mangoes,Fresh,1.32,Collard greens,Fresh,2.63,Mangoes,Fresh,1.38,Collard greens,Fresh,2.63
Mangoes,Dried,10.3035,Collard greens,Canned,1.3315,Mangoes,Dried,10.5527,Collard greens,Canned,1.0418,Mangoes,Dried,10.16,Collard greens,Canned,0.85,Mangoes,Dried,8.5,Collard greens,Canned,0.9
Nectarines,Fresh,2.3721,Collard greens,Frozen,2.3512,Nectarines,Fresh,1.9062,Collard greens,Frozen,1.9022,Nectarines,Fresh,1.88,Collard greens,Frozen,1.59,Nectarines,Fresh,1.76,Collard greens,Frozen,1.48
Oranges,Fresh,1.4624,Corn,Fresh,2.2281,Oranges,Fresh,1.2131,Corn,Fresh,1.8908,Oranges,Fresh,1.1,Corn,Fresh,3.26,Oranges,Fresh,1.04,Corn,Fresh,2.69
"Oranges, ready-to-drink",Juice,1.0572,Corn,Canned,1.1543,"Oranges, ready-to-drink",Juice,0.9842,Corn,Canned,1.0287,"Oranges, ready-to-drink",Juice,0.85,Corn,Canned,0.85,"Oranges, ready-to-drink",Juice,0.8,Corn,Canned,0.9
"Oranges, frozen concentrate",Juice,0.7338,Corn,Frozen,1.6889,"Oranges, frozen concentrate",Juice,0.769,Corn,Frozen,1.6642,"Oranges, frozen concentrate",Juice,0.66,Corn,Frozen,1.6,"Oranges, frozen concentrate",Juice,0.69,Corn,Frozen,1.62
Papaya,Fresh,1.3375,Cucumbers with peel,Fresh,1.2473,Papaya,Fresh,1.2904,Cucumbers with peel,Fresh,1.1933,Papaya,Fresh,1.29,Cucumbers with peel,Fresh,1.26,Papaya,Fresh,1.3,Cucumbers with peel,Fresh,1.3
Papaya,Dried,7.4854,Cucumbers without peel,Fresh,1.2473,Papaya,Dried,5.5089,Cucumbers without peel,Fresh,1.1933,Papaya,Dried,5.27,Cucumbers without peel,Fresh,1.26,Papaya,Dried,4.57,Cucumbers without peel,Fresh,1.3
Peaches,Fresh,2.1785,Great northern beans,Canned,1.1583,Peaches,Fresh,1.7167,Great northern beans,Canned,1.0095,Peaches,Fresh,1.68,Great northern beans,Canned,0.87,Peaches,Fresh,1.59,Great northern beans,Canned,0.92
"Peaches, packed in juice",Canned,2.2503,Great northern beans,Dried,1.7202,"Peaches, packed in juice",Canned,2.0237,Great northern beans,Dried,1.6965,"Peaches, packed in juice",Canned,1.88,Great northern beans,Dried,1.59,"Peaches, packed in juice",Canned,1.96,Great northern beans,Dried,1.53
"Peaches, packed in syrup or water",Canned,2.0102,Green beans,Fresh,2.6199,"Peaches, packed in syrup or water",Canned,1.8117,Green beans,Fresh,2.1463,"Peaches, packed in syrup or water",Canned,1.59,Green beans,Fresh,2.13,"Peaches, packed in syrup or water",Canned,1.51,Green beans,Fresh,2.14
Peaches,Frozen,3.6058,Green beans,Canned,1.1291,Peaches,Frozen,3.3867,Green beans,Canned,1.0175,Peaches,Frozen,3.19,Green beans,Canned,0.82,Peaches,Frozen,2.89,Green beans,Canned,0.83
Pears,Fresh,1.8472,Green beans,Frozen,1.9983,Pears,Fresh,1.5865,Green beans,Frozen,1.946,Pears,Fresh,1.52,Green beans,Frozen,1.7,Pears,Fresh,1.46,Green beans,Frozen,1.67
"Pears, packed in juice",Canned,2.14,Green peas,Canned,1.3118,"Pears, packed in juice",Canned,1.9546,Green peas,Canned,1.2516,"Pears, packed in juice",Canned,1.79,Green peas,Canned,0.99,"Pears, packed in juice",Canned,1.85,Green peas,Canned,1.01
"Pears, packed in syrup or water",Canned,2.092,Green peas,Frozen,1.996,"Pears, packed in syrup or water",Canned,1.897,Green peas,Frozen,1.8937,"Pears, packed in syrup or water",Canned,1.57,Green peas,Frozen,1.66,"Pears, packed in syrup or water",Canned,1.63,Green peas,Frozen,1.65
Pineapple,Fresh,0.617,Green peppers,Fresh,1.4789,Pineapple,Fresh,0.5685,Green peppers,Fresh,1.2772,Pineapple,Fresh,0.65,Green peppers,Fresh,1.49,Pineapple,Fresh,0.63,Green peppers,Fresh,1.41
"Pineapple, packed in juice",Canned,1.6509,Kale,Fresh,3.4338,"Pineapple, packed in juice",Canned,1.4344,Kale,Fresh,2.5018,"Pineapple, packed in juice",Canned,1.28,Kale,Fresh,2.88,"Pineapple, packed in juice",Canned,1.14,Kale,Fresh,2.81
"Pineapple, packed in syrup or water",Canned,1.7771,Kale,Canned,,"Pineapple, packed in syrup or water",Canned,1.4067,Kale,Canned,,"Pineapple, packed in syrup or water",Canned,1.36,Kale,Canned,,"Pineapple, packed in syrup or water",Canned,1.13,Kale,Canned,1.07
Pineapple,Dried,7.0133,Kale,Frozen,2.2983,Pineapple,Dried,6.6492,Kale,Frozen,2.1257,Pineapple,Dried,5.87,Kale,Frozen,2.07,Pineapple,Dried,5.5,Kale,Frozen,1.72
"Pineapple, ready-to-drink",Juice,1.2243,Kidney beans,Canned,1.1208,"Pineapple, ready-to-drink",Juice,1.0288,Kidney beans,Canned,0.9719,"Pineapple, ready-to-drink",Juice,0.97,Kidney beans,Canned,0.86,"Pineapple, ready-to-drink",Juice,0.91,Kidney beans,Canned,0.9
"Pineapple, frozen concentrate",Juice,0.7256,Kidney beans,Dried,1.9176,"Pineapple, frozen concentrate",Juice,0.6973,Kidney beans,Dried,1.7218,"Pineapple, frozen concentrate",Juice,0.62,Kidney beans,Dried,1.69,"Pineapple, frozen concentrate",Juice,0.59,Kidney beans,Dried,1.67
Plum,Fresh,2.5259,Lentils,Dried,1.839,Plum,Fresh,2.0292,Lentils,Dried,1.6493,Plum,Fresh,1.99,Lentils,Dried,1.56,Plum,Fresh,1.83,Lentils,Dried,1.39
Plum (prunes),Dried,6.3293,"Lettuce, iceberg",Fresh,1.2512,Plum (prunes),Dried,5.7042,"Lettuce, iceberg",Fresh,0.9952,Plum (prunes),Dried,4.73,"Lettuce, iceberg",Fresh,1.09,Plum (prunes),Dried,4.04,"Lettuce, iceberg",Fresh,1.21
"Plum (prune), ready-to-drink",Juice,1.6988,"Lettuce, romaine, heads",Fresh,2.3074,"Plum (prune), ready-to-drink",Juice,1.5522,"Lettuce, romaine, heads",Fresh,1.8299,"Plum (prune), ready-to-drink",Juice,1.45,"Lettuce, romaine, heads",Fresh,1.48,"Plum (prune), ready-to-drink",Juice,1.16,"Lettuce, romaine, heads",Fresh,1.84
Pomegranate,Fresh,2.4672,"Lettuce, romaine, hearts",Fresh,3.2802,Pomegranate,Fresh,2.235,"Lettuce, romaine, hearts",Fresh,2.5766,Pomegranate,Fresh,2.08,"Lettuce, romaine, hearts",Fresh,2.55,Pomegranate,Fresh,2.17,"Lettuce, romaine, hearts",Fresh,2.75
"Pomegranate, ready-to-drink",Juice,3.2788,Lima beans,Canned,1.4785,"Pomegranate, ready-to-drink",Juice,3.122,Lima beans,Canned,1.4004,"Pomegranate, ready-to-drink",Juice,3.01,Lima beans,Canned,1.33,"Pomegranate, ready-to-drink",Juice,2.94,Lima beans,Canned,1.38
Raspberries,Fresh,7.7338,Lima beans,Frozen,2.4401,Raspberries,Fresh,6.6391,Lima beans,Frozen,1.8995,Raspberries,Fresh,6.77,Lima beans,Frozen,1.9,Raspberries,Fresh,6.98,Lima beans,Frozen,1.84
Raspberries,Frozen,6.159,Lima beans,Dried,2.3933,Raspberries,Frozen,4.1877,Lima beans,Dried,2.1861,Raspberries,Frozen,4.76,Lima beans,Dried,2.22,Raspberries,Frozen,4.45,Lima beans,Dried,1.73
Strawberries,Fresh,2.9682,"Mixed vegetables, peas & carrots",Canned,1.4754,Strawberries,Fresh,2.58,"Mixed vegetables, peas & carrots",Canned,1.5339,Strawberries,Fresh,2.51,"Mixed vegetables, peas & carrots",Canned,1.12,Strawberries,Fresh,2.36,"Mixed vegetables, peas & carrots",Canned,1.32
Strawberries,Frozen,3.3421,"Mixed vegetables, peas & carrots",Frozen,1.8433,Strawberries,Frozen,2.8189,"Mixed vegetables, peas & carrots",Frozen,1.5296,Strawberries,Frozen,2.61,"Mixed vegetables, peas & carrots",Frozen,1.34,Strawberries,Frozen,2.38,"Mixed vegetables, peas & carrots",Frozen,1.39
Tangerines,Fresh,,"Mixed vegetables, carrots, peas, corn, green beans",Frozen,1.7859,Tangerines,Fresh,,"Mixed vegetables, carrots, peas, corn, green beans",Frozen,1.5978,Tangerines,Fresh,1.48,"Mixed vegetables, carrots, peas, corn, green beans",Frozen,1.13,Tangerines,Fresh,1.38,"Mixed vegetables, carrots, peas, corn, green beans",Frozen,1.11
Watermelon,Fresh,0.382,"Mixed vegetables, broccoli, cauliflower, carrots",Frozen,2.1538,Watermelon,Fresh,0.3604,"Mixed vegetables, broccoli, cauliflower, carrots",Frozen,2.0033,Watermelon,Fresh,0.32,"Mixed vegetables, broccoli, cauliflower, carrots",Frozen,1.79,Watermelon,Fresh,0.33,"Mixed vegetables, broccoli, cauliflower, carrots",Frozen,1.8
,,,"Mushrooms, whole",Fresh,3.8929,,,,"Mushrooms, whole",Fresh,3.4464,,,,"Mushrooms, whole",Fresh,3.55,,,,"Mushrooms, whole",Fresh,3.41
,,,"Mushrooms, sliced",Fresh,3.9224,,,,"Mushrooms, sliced",Fresh,3.6417,,,,"Mushrooms, sliced",Fresh,3.81,,,,"Mushrooms, sliced",Fresh,3.82
,,,Mustard greens,Fresh,,,,,Mustard greens,Fresh,,,,,Mustard greens,Fresh,2.68,,,,Mustard greens,Fresh,2.57
,,,Mustard greens,Canned,1.3367,,,,Mustard greens,Canned,1.0496,,,,Mustard greens,Canned,0.82,,,,Mustard greens,Canned,0.98
,,,Mustard greens,Frozen,2.4324,,,,Mustard greens,Frozen,1.9288,,,,Mustard greens,Frozen,1.56,,,,Mustard greens,Frozen,1.46
,,,Navy beans,Canned,1.2738,,,,Navy beans,Canned,1.0492,,,,Navy beans,Canned,0.95,,,,Navy beans,Canned,0.97
,,,Navy beans,Dried,1.6073,,,,Navy beans,Dried,1.4942,,,,Navy beans,Dried,1.48,,,,Navy beans,Dried,1.51
,,,Okra,Fresh,5.1567,,,,Okra,Fresh,3.9803,,,,Okra,Fresh,3.82,,,,Okra,Fresh,3.21
,,,Okra,Frozen,2.2528,,,,Okra,Frozen,1.8562,,,,Okra,Frozen,1.57,,,,Okra,Frozen,1.56
,,,Olives,Canned,5.3496,,,,Olives,Canned,5.7719,,,,Olives,Canned,5.09,,,,Olives,Canned,4.19
,,,Onions,Fresh,1.1062,,,,Onions,Fresh,0.9751,,,,Onions,Fresh,1.05,,,,Onions,Fresh,1.04
,,,Pinto beans,Canned,1.1189,,,,Pinto beans,Canned,0.8742,,,,Pinto beans,Canned,0.8,,,,Pinto beans,Canned,0.87
,,,Pinto beans,Dried,1.4173,,,,Pinto beans,Dried,1.2933,,,,Pinto beans,Dried,1.09,,,,Pinto beans,Dried,1.2
,,,Potatoes,Fresh,0.8166,,,,Potatoes,Fresh,0.6682,,,,Potatoes,Fresh,0.6,,,,Potatoes,Fresh,0.56
,,,"Potatoes, french fries",Frozen,1.9018,,,,"Potatoes, french fries",Frozen,1.5371,,,,"Potatoes, french fries",Frozen,1.22,,,,"Potatoes, french fries",Frozen,1.18
,,,Potatoes,Canned,1.0266,,,,Potatoes,Canned,1.107,,,,Potatoes,Canned,0.9,,,,Potatoes,Canned,0.97
,,,Pumpkin,Canned,1.8642,,,,Pumpkin,Canned,2.0172,,,,Pumpkin,Canned,1.38,,,,Pumpkin,Canned,1.35
,,,Radish,Fresh,1.8126,,,,Radish,Fresh,1.577,,,,Radish,Fresh,1.46,,,,Radish,Fresh,1.31
,,,Red peppers,Fresh,1.8742,,,,Red peppers,Fresh,2.1614,,,,Red peppers,Fresh,2.32,,,,Red peppers,Fresh,2.28
,,,"Spinach, boiled",Fresh,4.1214,,,,"Spinach, boiled",Fresh,2.994,,,,"Spinach, boiled",Fresh,3.83,,,,"Spinach, boiled",Fresh,3.83
,,,"Spinach, eaten raw",Fresh,4.1214,,,,"Spinach, eaten raw",Fresh,2.994,,,,"Spinach, eaten raw",Fresh,3.83,,,,"Spinach, eaten raw",Fresh,3.83
,,,Spinach,Canned,1.5676,,,,Spinach,Canned,1.3154,,,,Spinach,Canned,1.13,,,,Spinach,Canned,1.15
,,,Spinach,Frozen,2.2796,,,,Spinach,Frozen,2.133,,,,Spinach,Frozen,1.76,,,,Spinach,Frozen,1.9
,,,Summer squash,Fresh,,,,,Summer squash,Fresh,,,,,Summer squash,Fresh,1.64,,,,Summer squash,Fresh,1.64
,,,Sweet potatoes,Fresh,1.1565,,,,Sweet potatoes,Fresh,1.1198,,,,Sweet potatoes,Fresh,1.05,,,,Sweet potatoes,Fresh,0.92
,,,"Tomatoes, grape & cherry",Fresh,3.8729,,,,"Tomatoes, grape & cherry",Fresh,4.1458,,,,"Tomatoes, grape & cherry",Fresh,3.48,,,,"Tomatoes, grape & cherry",Fresh,3.29
,,,"Tomatoes, roma & plum",Fresh,1.2453,,,,"Tomatoes, roma & plum",Fresh,1.1618,,,,"Tomatoes, roma & plum",Fresh,1.29,,,,"Tomatoes, roma & plum",Fresh,1.24
,,,"Tomatoes, large round",Fresh,2.1868,,,,"Tomatoes, large round",Fresh,2.3347,,,,"Tomatoes, large round",Fresh,2.01,,,,"Tomatoes, large round",Fresh,3.16
,,,Tomatoes,Canned,1.0715,,,,Tomatoes,Canned,1.0175,,,,Tomatoes,Canned,0.91,,,,Tomatoes,Canned,0.92
,,,Turnip greens,Fresh,2.925,,,,Turnip greens,Fresh,2.4176,,,,Turnip greens,Fresh,2.51,,,,Turnip greens,Fresh,2.47
,,,Turnip greens,Canned,1.3154,,,,Turnip greens,Canned,1.0429,,,,Turnip greens,Canned,0.78,,,,Turnip greens,Canned,0.97
,,,Turnip greens,Frozen,2.5169,,,,Turnip greens,Frozen,1.9451,,,,Turnip greens,Frozen,1.58,,,,Turnip greens,Frozen,1.47
,,,Zucchini,Fresh,1.6359,,,,Zucchini,Fresh,1.5489,,,,Zucchini,Fresh,,,,,Zucchini,Fresh,
